dc_struct_id,compound_umlscui,compound_name,relationship,dc_disease_id,disease_umlscui,disease_name,disease_umls_semantic_type,etype,salt,base,in_semmed,salt_in_semmed,base_in_semmed
5203,C3661315,rucaparib,indication,21000533,C1299247,ovarian cancer,T191,TREATS_CDtDO,,,False,False,False
5202,C4044947,baricitinib,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,False,False,False
67,C0520442,acetyldigitoxin,indication,21001550,C0004238,Atrial fibrillation,T047,TREATS_CDtDO,,,False,False,False
67,C0520442,acetyldigitoxin,indication,40249123,C0018802,Congestive heart failure,T047,TREATS_CDtDO,,,True,False,False
3000,C0771809,acexamic acid,indication,21002742,C0037299,Skin ulcer,T047,TREATS_CDtDO,,,False,False,False
76,C0050558,acipimox,indication,21013846,C0020476,Hyperlipoproteinemia,T047,TREATS_CDtDO,,,True,False,False
5201,C4301781,crisaborole,indication,21002644,C0011615,atopic dermatitis,T047,TREATS_CDtDO,,,False,False,False
5204,C0060274,ferumoxytol,indication,21000803,C0162316,Iron deficiency anemia,T047,TREATS_CDtDO,,,False,False,False
5205,C0021735,interferon alfa-2b,indication,21000475,C0023434,chronic lymphocytic leukemia,T191,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,21000437,C0025202,melanoma,T191,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,40249311,C0024301,Follicular non-Hodgkin's lymphoma,T191,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,21000204,C0009663,Condyloma acuminatum,T047,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,21004839,C0276535,Kaposi's sarcoma associated with AIDS,T191,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,21000193,C0524910,Chronic hepatitis C,T047,TREATS_CDtDO,,,True,False,False
5205,C0021735,interferon alfa-2b,indication,21000192,C0524909,Chronic type B viral hepatitis,T047,TREATS_CDtDO,,,True,False,False
5207,C4301236,nusinersen,indication,40249312,C0026847,Spinal muscular atrophy,T047,TREATS_CDtDO,,,False,False,False
2032,C0030071,oxymetazoline,indication,40249313,C1720538,Persistent erythema of skin,T033,TREATS_CDtDO,C0357797,,False,False,False
1430,C0063433,imolamine,indication,21001460,C0002962,Angina pectoris,T033,TREATS_CDtDO,,,False,False,False
5208,C3711911,plecanatide,indication,21013442,C0267509,Chronic idiopathic constipation,T047,TREATS_CDtDO,,,False,False,False
5210,C4301624,olmutinib,indication,21000523,C0153493,lung cancer,T191,TREATS_CDtDO,,,False,False,False
5209,C2604307,icotinib,indication,21000523,C0153493,lung cancer,T191,TREATS_CDtDO,,,False,False,False
4394,C0045212,clevudine,indication,21000192,C0524909,Chronic type B viral hepatitis,T047,TREATS_CDtDO,,,True,False,False
5188,C3273827,radotinib,indication,21000488,C0376544,hematologic cancer,T191,TREATS_CDtDO,,,False,False,False
795,C0011185,prasterone,indication,21013942,C1384606,Dyspareunia,T033,TREATS_CDtDO,C2698868,,True,False,False
5189,C4084478,albutrepenonacog alfa,indication,21000850,C0008533,Hereditary factor IX deficiency disease,T047,TREATS_CDtDO,,,False,False,False
4942,C2986924,lenvatinib,indication,21000450,C0740457,kidney cancer,T191,TREATS_CDtDO,C2987642,,False,False,False
658,C0055775,ciprofibrate,indication,21000703,C0020557,Hypertriglyceridemia,T033,TREATS_CDtDO,,,True,False,False
658,C0055775,ciprofibrate,indication,21000705,C0020474,Mixed hyperlipidemia,T047,TREATS_CDtDO,,,True,False,False
5199,C3273401,taliglucerase alfa,indication,40249217,C1961835,Chronic non-neuropathic Gaucher's disease,T047,TREATS_CDtDO,,,False,False,False
5142,C1722267,pimavanserin,indication,21001057,C0030567,Parkinson's disease,T047,TREATS_CDtDO,C2607621,,False,False,False
1375,C0019588,histamine,indication,21000485,C0376544,hematologic cancer,T191,TREATS_CDtDO,C0543456,,True,True,False
4314,C0000948,aceclidine,indication,21001205,C0017601,glaucoma,T047,TREATS_CDtDO,C3273097,,True,False,False
49,C0050405,acefylline,indication,21001866,C0004096,asthma,T047,TREATS_CDtDO,,,True,False,False
49,C0050405,acefylline,indication,21001833,C0006277,Bronchitis,T047,TREATS_CDtDO,,,False,False,False
49,C0050405,acefylline,indication,21001594,C0007222,Disorder of cardiovascular system,T047,TREATS_CDtDO,,,False,False,False
48,C0000956,acenocoumarol,indication,21001698,C0042487,Venous thrombosis,T046,TREATS_CDtDO,,,True,False,False
48,C0000956,acenocoumarol,indication,40249099,C0034065,Pulmonary embolism,T047,TREATS_CDtDO,,,True,False,False
55,C0050436,acetarsol,indication,40249279,C0002438,Amebic infection,T047,TREATS_CDtDO,,,False,False,False
62,C0050521,acetoxolone,indication,21002051,C0017152,Gastritis,T047,TREATS_CDtDO,C3273911,,False,False,False
64,C0001040,acetylcarnitine,indication,21012458,C0002395,Alzheimer's disease,T047,TREATS_CDtDO,,,True,False,False
64,C0001040,acetylcarnitine,indication,21013500,C0011268,Senile dementia,T048,TREATS_CDtDO,,,False,False,False
5186,C4291320,bezlotoxumab,indication,40249052,C0343386,Clostridium difficile infection,T047,TREATS_CDtDO,,,False,False,False
5183,C2698152,olaratumab,indication,40249134,C1261473,Sarcoma of soft tissue,T191,TREATS_CDtDO,,,False,False,False
3094,C0055463,chloroxylenol,indication,40249064,C0443072,Antiseptic preparation,T121,TREATS_CDtDO,,,False,False,False
3353,C3491926,methylhexaneamine,indication,21001775,C0027424,Nasal congestion,T184,TREATS_CDtDO,,,False,False,False
1849,C0129022,motretinide,indication,21002731,C0001144,Acne vulgaris,T047,TREATS_CDtDO,,,True,False,False
2344,C0072865,quinfamide,indication,40249279,C0002438,Amebic infection,T047,TREATS_CDtDO,,,False,False,False
3088,C0055332,tosylchloramide sodium,indication,40249064,C0443072,Antiseptic preparation,T121,TREATS_CDtDO,,,False,False,False
1727,C0770655,metacycline,indication,40249297,C0152516,Bacterial enteritis,T047,TREATS_CDtDO,,C0025603,False,False,False
5174,C3713860,lifitegrast,indication,21001319,C0013238,Tear film insufficiency,T047,TREATS_CDtDO,,,False,False,False
2654,C0772481,tibezonium,indication,40249064,C0443072,Antiseptic preparation,T121,TREATS_CDtDO,,,False,False,False
2165,C0285260,piketoprofen,indication,21003079,C0030193,Pain,T184,TREATS_CDtDO,,,False,False,False
2026,C0304424,oxyphencyclimine,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,,C0069833,False,False,True
1588,C0024373,lisuride,indication,21001116,C0149931,migraine,T047,TREATS_CDtDO,,,False,False,False
1588,C0024373,lisuride,indication,21002499,C0002453,Amenorrhea,T047,TREATS_CDtDO,,,False,False,False
1588,C0024373,lisuride,indication,21000613,C0001206,Acromegaly,T047,TREATS_CDtDO,,,False,False,False
3125,C0057135,dantron,indication,21002114,C0009806,Constipation,T184,TREATS_CDtDO,,,True,False,False
5176,C2350656,pegloticase,indication,21000716,C0018099,gout,T047,TREATS_CDtDO,,,False,False,False
3557,C2348593,sulbentine,indication,40249299,C0011630,Dermal mycosis,T047,TREATS_CDtDO,,,False,False,False
3557,C2348593,sulbentine,indication,40249300,C0032024,Pityriasis,T047,TREATS_CDtDO,,,False,False,False
676,C0055877,clidinium,indication,21002102,C0014356,Enterocolitis,T047,TREATS_CDtDO,,,False,False,False
1007,C0085251,encainide,indication,21001560,C0151636,Ventricular premature beats,T046,TREATS_CDtDO,C0916906,,True,False,False
1500,C0301373,isopropamide,indication,21002035,C0030920,Peptic ulcer,T047,TREATS_CDtDO,C0022233,,False,False,False
1492,C0124087,isofezolac,indication,21002805,C0003873,rheumatoid arthritis,T047,TREATS_CDtDO,,,False,False,False
1492,C0124087,isofezolac,indication,21002811,C0029408,Osteoarthritis,T047,TREATS_CDtDO,,,False,False,False
3483,C0936148,posaconazole,indication,21000344,C0004030,Aspergillosis,T047,TREATS_CDtDO,,,True,False,False
3483,C0936148,posaconazole,indication,21006596,C0276758,Fusarium infection,T047,TREATS_CDtDO,,,False,False,False
3483,C0936148,posaconazole,indication,21000343,C0008582,Chromoblastomycosis,T047,TREATS_CDtDO,,,True,False,False
3014,C2698346,bemotrizinol,indication,40249140,C0038818,Sunscreen agent,T167,TREATS_CDtDO,,,False,False,False
2038,C0031422,oxyphenisatine,indication,21002114,C0009806,Constipation,T184,TREATS_CDtDO,,,False,False,False
5137,C3848580,peginterferon beta-1a,indication,21001080,C0026769,multiple sclerosis,T047,TREATS_CDtDO,,,False,False,False
5139,C0254119,interferon beta-1a,indication,21001080,C0026769,multiple sclerosis,T047,TREATS_CDtDO,,,False,False,False
