chemical_id	chemical_name	disease_id	disease_name	edge_type
UMLS:C0000473	aminobenzoic acid	UMLS:C0011633	Dermatomyositis	TREATS_CDtDO
UMLS:C0000473	aminobenzoic acid	UMLS:C0011644	Systemic sclerosis	TREATS_CDtDO
UMLS:C0000473	aminobenzoic acid	UMLS:C0030807	Pemphigus	TREATS_CDtDO
UMLS:C0000473	aminobenzoic acid	UMLS:C0030848	Induratio penis plastica	TREATS_CDtDO
UMLS:C0000473	aminobenzoic acid	UMLS:C1527383	Morphea	TREATS_CDtDO
UMLS:C0000477	fampridine	UMLS:C0026769	multiple sclerosis	TREATS_CDtDO
UMLS:C0000545	eicosapentaenoic acid	UMLS:C0032961	Pregnancy, function	TREATS_CDtDO
UMLS:C0000618	mercaptopurine	UMLS:C0023449	acute lymphocytic leukemia	TREATS_CDtDO
UMLS:C0000618	mercaptopurine	UMLS:C0023487	acute promyelocytic leukemia	TREATS_CDtDO
UMLS:C0000948	aceclidine	UMLS:C0017601	glaucoma	TREATS_CDtDO
UMLS:C0000956	acenocoumarol	UMLS:C0034065	Pulmonary embolism	TREATS_CDtDO
UMLS:C0000956	acenocoumarol	UMLS:C0042487	Venous thrombosis	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0003862	Joint pain	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0004604	Backache	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0009443	Common cold	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0015967	Fever	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0030193	Pain	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0033893	Tension-type headache	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0037195	Sinus headache	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0040460	Toothache	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0149931	migraine	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0392171	Influenza-like symptoms	TREATS_CDtDO
UMLS:C0000970	paracetamol	UMLS:C0393735	Headache disorder	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0002351	Anoxia due to high altitude	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0013604	Edema	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0014544	epilepsy	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0017601	glaucoma	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0085649	Peripheral edema	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0149893	Secondary glaucoma	TREATS_CDtDO
UMLS:C0000981	acetazolamide	UMLS:C0271152	Malignant glaucoma	TREATS_CDtDO
UMLS:C0000983	acetic acid	UMLS:C0029878	Otitis externa	TREATS_CDtDO
UMLS:C0000992	acetohexamide	UMLS:C0011860	type 2 diabetes mellitus	TREATS_CDtDO
UMLS:C0001040	acetylcarnitine	UMLS:C0002395	Alzheimer's disease	TREATS_CDtDO
